ID,Theme,Question_English,Question_RomanUrdu,Short_Answer_English,Detailed_Answer_English,Risk_Level,Source,Helpline
KB0001,Menstruation & Hygiene,What is menstruation?,What is menstruation ?,Menstruation is a natural monthly process when the uterus sheds its lining. It usually starts during puberty and lasts 3–7 days.,Menstruation is a natural monthly process when the uterus sheds its lining. It usually starts during puberty and lasts 3–7 days. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0002,Menstruation & Hygiene,Why do I get period cramps?,Why kya mujhe get period cramps ?,"Cramps are caused by the uterus contracting to expel its lining. Warm packs, rest, and paracetamol help reduce pain.","Cramps are caused by the uterus contracting to expel its lining. Warm packs, rest, and paracetamol help reduce pain. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0003,Menstruation & Hygiene,How often should I change my pad?,How often kya mujhe change my pad ?,"Change sanitary pads every 4–6 hours. Using clean, dry cloths and drying them in sunlight reduces infection risk.","Change sanitary pads every 4–6 hours. Using clean, dry cloths and drying them in sunlight reduces infection risk. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0004,Menstruation & Hygiene,Can I bathe during my period?,Can I bathe during my period ?,"Yes, bathing keeps you clean and can relieve discomfort. Mild soap and water are sufficient.","Yes, bathing keeps you clean and can relieve discomfort. Mild soap and water are sufficient. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0005,Menstruation & Hygiene,Is period blood dirty?,Is period blood dirty ?,No. Menstrual blood is normal body fluid and not 'dirty'. Good hygiene prevents infections.,No. Menstrual blood is normal body fluid and not 'dirty'. Good hygiene prevents infections. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0006,Menstruation & Hygiene,What to do if bleeding is very heavy?,What to do if bleeding is very heavy ?,Seek medical attention if you soak a pad every 1-2 hours or pass large clots; heavy bleeding may need treatment.,Seek medical attention if you soak a pad every 1-2 hours or pass large clots; heavy bleeding may need treatment. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0007,Menstruation & Hygiene,Can I play sports during periods?,Can I play sports during periods ?,"Yes, light to moderate exercise is fine and can reduce cramps. Rest if you feel very weak.","Yes, light to moderate exercise is fine and can reduce cramps. Rest if you feel very weak. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0008,Menstruation & Hygiene,What to use if I don't have pads?,What to use if I don't have pads ?,"Use clean, well-washed cloths and dry them completely in sunlight. Avoid damp or dirty materials.","Use clean, well-washed cloths and dry them completely in sunlight. Avoid damp or dirty materials. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0009,Menstruation & Hygiene,How long do irregular periods last?,How long do irregular periods last ?,Irregular cycles can be normal for the first 2–3 years after they start; consult a doctor if absent for 3 months.,Irregular cycles can be normal for the first 2–3 years after they start; consult a doctor if absent for 3 months. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0010,Menstruation & Hygiene,Can I swim during my period?,Can I swim during my period ?,"Yes, use tampons or menstrual cups for swimming; pads are not suitable for swimming.","Yes, use tampons or menstrual cups for swimming; pads are not suitable for swimming. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0011,Menstruation & Hygiene,Does diet affect my period?,Does diet affect my period ?,A balanced diet with iron-rich foods helps prevent anemia; hydration and nutrition can improve symptoms.,A balanced diet with iron-rich foods helps prevent anemia; hydration and nutrition can improve symptoms. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0012,Menstruation & Hygiene,When should I see a doctor about periods?,When kya mujhe see a doctor about periods ?,"See a doctor for severe pain, very heavy bleeding, missed periods, or any worrying changes.","See a doctor for severe pain, very heavy bleeding, missed periods, or any worrying changes. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0013,Puberty & Body Changes,What is puberty?,What is puberty ?,"Puberty is when your body changes from a child to an adult. It includes growth, voice changes, and menstruation for girls.","Puberty is when your body changes from a child to an adult. It includes growth, voice changes, and menstruation for girls. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0014,Puberty & Body Changes,Why is my voice changing?,Why is my voice changing ?,"Hormonal changes during puberty cause the voice to deepen, especially in boys.","Hormonal changes during puberty cause the voice to deepen, especially in boys. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0015,Puberty & Body Changes,Why am I getting body hair?,Why am I getting body hair ?,"Hormones during puberty cause hair growth in underarms, pubic area, and sometimes on the face and chest.","Hormones during puberty cause hair growth in underarms, pubic area, and sometimes on the face and chest. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0016,Puberty & Body Changes,Is it normal to feel awkward about body changes?,Is it normal to feel awkward about body changes ?,"Yes, many adolescents feel self-conscious; talking to trusted people helps.","Yes, many adolescents feel self-conscious; talking to trusted people helps. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0017,Puberty & Body Changes,What are growth spurts?,What are growth spurts ?,Rapid increases in height and weight during puberty; nutrition supports healthy growth.,Rapid increases in height and weight during puberty; nutrition supports healthy growth. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0018,Puberty & Body Changes,Why do skin and acne appear?,Why do skin and acne appear ?,"Hormonal changes increase oil in the skin, which can cause acne. Good hygiene and, if needed, medical care can help.","Hormonal changes increase oil in the skin, which can cause acne. Good hygiene and, if needed, medical care can help. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0019,Puberty & Body Changes,When will I stop growing?,When will I stop growing ?,Growth usually slows after puberty and most people finish growing in late teens.,Growth usually slows after puberty and most people finish growing in late teens. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0020,Puberty & Body Changes,Are mood swings normal?,Are mood swings normal ?,"Yes, hormonal shifts can cause mood changes; rest, support, and talk help.","Yes, hormonal shifts can cause mood changes; rest, support, and talk help. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0021,Puberty & Body Changes,How to manage body odor?,How to manage body odor ?,Daily bathing and deodorant help manage body odor during puberty.,Daily bathing and deodorant help manage body odor during puberty. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0022,Puberty & Body Changes,How to talk to parents about puberty?,How to talk to parents about puberty ?,"Choose a calm moment, express your need to learn, and ask for support or private time to discuss.","Choose a calm moment, express your need to learn, and ask for support or private time to discuss. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0023,Myths & Misconceptions,Does standing in the sun stop periods?,Does standing in the sun stop periods ?,No. Sunlight helps dry cloths but cannot stop periods. Periods are hormonal and natural.,No. Sunlight helps dry cloths but cannot stop periods. Periods are hormonal and natural. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0024,Myths & Misconceptions,Can I get STIs from toilet seats?,Can I get STIs from toilet seats ?,No. STIs are not transmitted via toilet seats; they spread through sexual contact and body fluids.,No. STIs are not transmitted via toilet seats; they spread through sexual contact and body fluids. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0025,Myths & Misconceptions,Does masturbation cause weakness?,Does masturbation cause weakness ?,No. Masturbation is a normal behavior and does not cause physical weakness.,No. Masturbation is a normal behavior and does not cause physical weakness. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0026,Myths & Misconceptions,Will wearing tight clothes cause infertility?,Will wearing tight clothes cause infertility ?,No. Tight clothes do not cause infertility; reproductive health depends on medical factors.,No. Tight clothes do not cause infertility; reproductive health depends on medical factors. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0027,Myths & Misconceptions,Do certain foods stop period flow?,Do certain foods stop period flow ?,No. No food can reliably stop or start a period; balanced nutrition helps overall health.,No. No food can reliably stop or start a period; balanced nutrition helps overall health. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0028,Myths & Misconceptions,Do sanitary pads cause cancer?,Do sanitary pads cause cancer ?,No. Sanitary pads do not cause cancer. Use safe products and change regularly.,No. Sanitary pads do not cause cancer. Use safe products and change regularly. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0029,Myths & Misconceptions,Are periods a punishment?,Are periods a punishment ?,No. Periods are a biological process and not a punishment.,No. Periods are a biological process and not a punishment. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0030,Myths & Misconceptions,Can evil eye affect periods?,Can evil eye affect periods ?,"Cultural beliefs vary, but there is no scientific evidence that the 'evil eye' changes menstruation.","Cultural beliefs vary, but there is no scientific evidence that the 'evil eye' changes menstruation. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0031,Myths & Misconceptions,Is it okay to ignore period pain?,Is it okay to ignore period pain ?,No. Severe or persistent pain should be assessed by a healthcare provider.,No. Severe or persistent pain should be assessed by a healthcare provider. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0032,Myths & Misconceptions,Does breastfeeding prevent all pregnancies?,Does breastfeeding prevent all pregnancies ?,Breastfeeding may reduce fertility temporarily but is not a guaranteed contraception method.,Breastfeeding may reduce fertility temporarily but is not a guaranteed contraception method. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0033,Nutrition & Physical Health,What foods help during periods?,What foods help during periods ?,"Iron-rich foods like lentils, spinach, eggs, and meat help prevent anemia; fruits and fluids help energy levels.","Iron-rich foods like lentils, spinach, eggs, and meat help prevent anemia; fruits and fluids help energy levels. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0034,Nutrition & Physical Health,How much water should I drink daily?,How much water kya mujhe drink daily ?,"Aim for about 6-8 glasses a day, more with activity or hot weather.","Aim for about 6-8 glasses a day, more with activity or hot weather. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0035,Nutrition & Physical Health,Can being underweight affect periods?,Can being underweight affect periods ?,Yes. Low body weight can cause irregular or missed periods; balanced nutrition is important.,Yes. Low body weight can cause irregular or missed periods; balanced nutrition is important. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
